NAME, LIBRARY, VERSION, COMPILER, FLAGS, MODE, INPUT, INPUT-SIZE, FUNCTION, MEDIAN, MAD, RELATIVE, INTENSITY
ethSIFT avx clang avx rdtsc Downscale, ethSIFT, avx, clang, avx, rdtsc, auto-240p, 240, Downscale, 0.0, 0.0, 0.0, 0.0
ethSIFT avx clang avx rdtsc Convolution, ethSIFT, avx, clang, avx, rdtsc, auto-240p, 240, Convolution, 3.6565537, -0.0038645267, 0.0000001451693, 3.372131
ethSIFT avx clang avx rdtsc Octaves, ethSIFT, avx, clang, avx, rdtsc, auto-240p, 240, Octaves, 91016.0, 231.286, 0.0036134375, 0.0
ethSIFT avx clang avx rdtsc GaussianKernelGeneration, ethSIFT, avx, clang, avx, rdtsc, auto-240p, 240, GaussianKernelGeneration, 4838.0, 376.58, 0.00019207403, 0.0
ethSIFT avx clang avx rdtsc GaussianPyramid, ethSIFT, avx, clang, avx, rdtsc, auto-240p, 240, GaussianPyramid, 4.151876, -0.0104932785, 0.00000028115593, 4.0669374
ethSIFT avx clang avx rdtsc DOGPyramid, ethSIFT, avx, clang, avx, rdtsc, auto-240p, 240, DOGPyramid, 1.3667272, -0.0038759708, 0.000000095791336, 3.6348531
ethSIFT avx clang avx rdtsc GradientAndRotationPyramids, ethSIFT, avx, clang, avx, rdtsc, auto-240p, 240, GradientAndRotationPyramids, 3.9386399, -0.00778389, 0.000000302462, 13.672094
ethSIFT avx clang avx rdtsc Histogram, ethSIFT, avx, clang, avx, rdtsc, auto-240p, 240, Histogram, 0.85082024, -0.0022680163, 0.000000065393195, 2.5614655
ethSIFT avx clang avx rdtsc ExtremaRefinement, ethSIFT, avx, clang, avx, rdtsc, auto-240p, 240, ExtremaRefinement, 0.9456522, -0.029527128, 0.0000000726829, 1.0807453
ethSIFT avx clang avx rdtsc KeypointDetection, ethSIFT, avx, clang, avx, rdtsc, auto-240p, 240, KeypointDetection, 0.17272304, -0.00034087896, 0.000000019221304, 1.0536155
ethSIFT avx clang avx rdtsc ExtractDescriptor, ethSIFT, avx, clang, avx, rdtsc, auto-240p, 240, ExtractDescriptor, 0.7117038, -0.00119102, 0.05863367, 2.6122131
ethSIFT avx clang avx rdtsc MeasureFull, ethSIFT, avx, clang, avx, rdtsc, auto-240p, 240, MeasureFull, 2.213094, -0.0062413216, 0.1823256, 3.9261184
ethSIFT avx clang avx rdtsc MeasureFullNoAlloc, ethSIFT, avx, clang, avx, rdtsc, auto-240p, 240, MeasureFullNoAlloc, 25080722.0, 62767.4, 2066273.6, 0.0
ethSIFT avx clang fastmath rdtsc Downscale, ethSIFT, avx, clang, fastmath, rdtsc, auto-240p, 240, Downscale, 0.0, 0.0, 0.0, 0.0
ethSIFT avx clang fastmath rdtsc Convolution, ethSIFT, avx, clang, fastmath, rdtsc, auto-240p, 240, Convolution, 3.740859, -0.0020122528, 0.00000013370042, 3.372131
ethSIFT avx clang fastmath rdtsc Octaves, ethSIFT, avx, clang, fastmath, rdtsc, auto-240p, 240, Octaves, 106268.0, 619.727, 0.0037980787, 0.0
ethSIFT avx clang fastmath rdtsc GaussianKernelGeneration, ethSIFT, avx, clang, fastmath, rdtsc, auto-240p, 240, GaussianKernelGeneration, 5090.0, 468.502, 0.00018191949, 0.0
ethSIFT avx clang fastmath rdtsc GaussianPyramid, ethSIFT, avx, clang, fastmath, rdtsc, auto-240p, 240, GaussianPyramid, 4.367569, -0.008625507, 0.00000024166246, 4.0669374
ethSIFT avx clang fastmath rdtsc DOGPyramid, ethSIFT, avx, clang, fastmath, rdtsc, auto-240p, 240, DOGPyramid, 1.400215, -0.007665992, 0.00000007962306, 3.6348531
ethSIFT avx clang fastmath rdtsc GradientAndRotationPyramids, ethSIFT, avx, clang, fastmath, rdtsc, auto-240p, 240, GradientAndRotationPyramids, 3.893326, -0.005963087, 0.00000023848528, 13.672094
ethSIFT avx clang fastmath rdtsc Histogram, ethSIFT, avx, clang, fastmath, rdtsc, auto-240p, 240, Histogram, 0.77267516, -0.0024304986, 0.000000047365578, 2.5614655
ethSIFT avx clang fastmath rdtsc ExtremaRefinement, ethSIFT, avx, clang, fastmath, rdtsc, auto-240p, 240, ExtremaRefinement, 0.96666664, -0.015666068, 0.000000059258053, 1.0807453
ethSIFT avx clang fastmath rdtsc KeypointDetection, ethSIFT, avx, clang, fastmath, rdtsc, auto-240p, 240, KeypointDetection, 0.15410425, -0.00026009977, 0.000000013057531, 1.0536155
ethSIFT avx clang fastmath rdtsc ExtractDescriptor, ethSIFT, avx, clang, fastmath, rdtsc, auto-240p, 240, ExtractDescriptor, 0.54189235, -0.00065881014, 0.044797644, 2.6122131
ethSIFT avx clang fastmath rdtsc MeasureFull, ethSIFT, avx, clang, fastmath, rdtsc, auto-240p, 240, MeasureFull, 1.965566, -0.002626419, 0.16249117, 3.9261184
ethSIFT avx clang fastmath rdtsc MeasureFullNoAlloc, ethSIFT, avx, clang, fastmath, rdtsc, auto-240p, 240, MeasureFullNoAlloc, 28305662.0, 44083.6, 2339997.8, 0.0
ethSIFT avx clang full rdtsc Downscale, ethSIFT, avx, clang, full, rdtsc, auto-240p, 240, Downscale, 0.0, 0.0, 0.0, 0.0
ethSIFT avx clang full rdtsc Convolution, ethSIFT, avx, clang, full, rdtsc, auto-240p, 240, Convolution, 3.7068877, -0.016886473, 0.00000014313993, 3.372131
ethSIFT avx clang full rdtsc Octaves, ethSIFT, avx, clang, full, rdtsc, auto-240p, 240, Octaves, 90408.0, 243.146, 0.0034910676, 0.0
ethSIFT avx clang full rdtsc GaussianKernelGeneration, ethSIFT, avx, clang, full, rdtsc, auto-240p, 240, GaussianKernelGeneration, 5120.0, 453.676, 0.00019770669, 0.0
ethSIFT avx clang full rdtsc GaussianPyramid, ethSIFT, avx, clang, full, rdtsc, auto-240p, 240, GaussianPyramid, 4.219588, -0.0434494, 0.00000026974053, 4.0669374
ethSIFT avx clang full rdtsc DOGPyramid, ethSIFT, avx, clang, full, rdtsc, auto-240p, 240, DOGPyramid, 1.2594985, -0.09410453, 0.000000083403826, 3.6348531
ethSIFT avx clang full rdtsc GradientAndRotationPyramids, ethSIFT, avx, clang, full, rdtsc, auto-240p, 240, GradientAndRotationPyramids, 2.3841374, -0.07501292, 0.00000018278942, 13.672094
